IATA code,Lat Decimal Degrees,Long Decimal Degrees
HUX,15.775,-96.261
HUY,53.574,-0.351
HVA,-14.629,47.764
HVR,48.543,-109.762
HWO,26.001,-80.24
HYD,17.452,78.461
HZK,65.952,-17.426
IAB,37.623,-97.267
IAD,38.944,-77.456
IAG,43.107,-78.946
IAH,29.98,-95.34
IAM,28.051,9.643
IAS,47.179,27.62
IBA,7.362,3.978
IBE,4.421,-75.133
IBZ,38.873,1.373
ICT,37.65,-97.433
IDR,22.722,75.801
IEG,52.139,15.799
IEO,16.711,-9.638
IEV,50.402,30.452
IFJ,66.058,-23.135
IGA,20.975,-73.667
IGL,38.513,27.01
IGR,-25.738,-54.473
IGU,-25.596,-54.487
IKI,33.749,129.785
IKK,41.071,-87.846
IKT,52.267,104.395
ILG,39.679,-75.606
ILI,59.754,-154.911
ILM,34.271,-77.903
ILO,10.713,122.545
ILR,8.44,4.494
ILY,55.682,-6.257
IMF,24.76,93.897
IMP,-5.531,-47.46
IND,39.717,-86.294
ING,-50.335,-72.248
INH,-23.876,35.408
INK,31.779,-103.201
INL,48.566,-93.403
INN,47.26,11.344
INS,36.587,-115.673
INT,36.134,-80.222
INV,57.54,-4.05
INZ,27.251,2.512
IOA,39.696,20.822
IOM,54.083,-4.624
ION,1.589,18.047
IOS,-14.816,-39.033
IPC,-27.165,-109.422
IPH,4.568,101.092
IPI,0.862,-77.672
IPL,32.834,-115.579
IPN,-19.471,-42.488
IPT,41.242,-76.921
IQQ,-20.535,-70.181
IQT,-3.785,-73.309
IRD,24.152,89.049
IRI,-7.669,35.752
IRJ,-29.381,-66.796
IRO,10.236,22.717
IRP,2.827,27.588
ISA,-20.664,139.489
ISB,33.616,73.099
ISG,24.344,124.187
ISJ,21.245,-86.74
ISK,19.962,73.807
ISN,48.178,-103.642
ISP,40.795,-73.1
IST,40.977,28.821
ITM,34.785,135.438
ITO,19.72,-155.049
IVC,-46.412,168.313
IVL,68.607,27.405
IWO,24.784,141.322
IXA,23.889,91.241
IXB,26.681,88.328
IXC,30.673,76.788
IXD,25.439,81.734
IXE,12.96,74.893
IXG,15.859,74.618
IXH,24.308,92.007
IXI,27.291,94.097
IXJ,32.69,74.838
IXK,21.317,70.27
IXL,34.136,77.546
IXM,9.834,78.093
IXP,32.234,75.634
IXR,23.315,85.321
IXS,24.913,92.979
IXT,28.066,95.336
IXU,19.863,75.398
IXW,22.812,86.168
IXY,23.113,70.1
IXZ,11.646,92.733
IZO,35.414,132.89
JAA,34.399,70.499
JAD,-32.097,115.881
JAF,9.792,80.07
JAI,26.824,75.81
JAN,32.311,-90.076
JAV,69.233,-51.067
JAX,30.494,-81.688
JBR,35.832,-90.646
JDF,-21.791,-43.387
JED,21.679,39.156
JER,49.208,-2.195
JFK,40.64,-73.779
JGA,22.466,70.011
JHB,1.641,103.669
JHM,20.963,-156.674
JIM,7.666,36.816
JJI,-7.169,-76.728
JKG,57.758,14.069
JKH,38.343,26.141
JLD,55.945,12.861
JLR,23.178,80.052
JMK,37.435,25.348
JNB,-26.139,28.246
JNU,58.355,-134.576
JOE,62.659,29.624
JOG,-7.788,110.432
JOH,26.251,73.048
JOI,-26.225,-48.797
JON,16.729,-169.534
JOS,9.64,8.869
JPA,-7.27,-35.896
JRH,26.731,94.176
JRO,-3.429,37.074
JRS,31.867,35.217
JSA,26.889,70.864
JSH,35.214,26.098
JSI,39.177,23.504
JSM,-44.048,-70.459
JSR,23.184,89.161
JTR,36.4,25.479
JUB,4.872,31.601
JUJ,-24.393,-65.098
JUL,-15.467,-70.158
JWA,-24.602,24.691
JYV,62.399,25.678
KAB,-16.52,28.885
KAD,10.696,7.32
KAG,37.753,128.944
KAJ,64.285,27.692
KAN,12.047,8.524
KAO,65.987,29.239
KAR,5.865,-60.614
KAT,-35.07,173.285
KAU,63.127,23.051
KBL,34.566,69.212
KBP,50.345,30.895
KBR,6.166,102.294
KBY,53.505,50.164
KCH,1.485,110.346
KCZ,33.544,133.671
KDA,12.88,-14.955
KDH,31.506,65.848
KDI,-4.082,122.417
KED,16.159,-13.508
KEF,63.985,-22.606
KEJ,55.27,86.107
KEL,54.379,10.145
KEM,65.782,24.599
KER,30.261,56.957
KET,21.301,99.637
KEV,61.856,24.786
KFA,16.59,-11.406
KGA,-5.9,22.469
KGD,54.89,20.592
KGG,12.572,-12.22
KGI,-30.789,121.462
KGJ,-9.953,33.893
KGL,-1.969,30.139
KGS,36.793,27.092
KHG,39.543,76.022
KHH,22.575,120.351
KHI,24.906,67.161
KHN,28.6,115.917
KHS,26.171,56.241
KHV,48.528,135.188
KID,55.922,14.085
KIH,26.527,53.982
KIM,-28.803,24.765
KIN,17.936,-76.787
KIR,52.181,-9.524
KIS,-0.086,34.729
KIT,36.274,23.017
KIV,46.928,28.931
KIW,-12.9,28.15
KKE,-35.263,173.912
KKJ,33.836,130.947
KKN,69.725,29.887
KKR,-15.663,-146.885
KKW,-5.036,18.786
KLC,14.147,-16.051
KLD,56.825,35.758
KLH,16.664,74.288
KLO,11.681,122.378
KLR,56.685,16.288
KLU,46.65,14.333
KLV,50.203,12.915
KLX,37.068,22.026
KLZ,-29.688,17.094
KME,-2.462,28.908
KMG,24.992,102.743
KMI,31.877,131.448
KMJ,32.837,130.855
KMK,-3.483,12.617
KMN,-8.642,25.253
KMQ,36.394,136.408
KMU,-0.377,42.459
KND,-2.919,25.915
KNF,52.648,0.55
KNG,-3.644,133.695
KNH,24.432,118.359
KNQ,-21.053,164.838
KNU,26.441,80.363
KNX,-15.778,128.707
KOA,19.739,-156.046
KOC,-20.546,164.256
KOE,-10.171,123.671
KOI,58.958,-2.905
KOJ,31.803,130.719
KOK,63.721,23.143
KOP,17.412,104.777
KPO,35.988,129.42
KRF,63.048,17.769
KRK,50.078,19.785
KRN,67.822,20.337
KRO,55.475,65.415
KRP,56.297,9.124
KRR,45.035,39.172
KRS,58.204,8.085
KRT,15.589,32.553
KRW,40.033,52.983
KSA,5.357,162.958
KSC,48.663,21.241
KSF,51.408,9.378
KSH,34.346,47.156
KSJ,35.421,26.91
KSK,59.346,14.496
KSL,15.386,36.328
KSO,40.449,21.276
KSU,63.112,7.824
KTA,-20.712,116.773
KTD,25.948,131.321
KTE,4.537,103.426
KTG,-1.816,109.963
KTL,0.972,34.958
KTM,27.696,85.359
KTN,55.356,-131.714
KTP,17.988,-76.824
KTQ,53.206,63.551
KTT,67.701,24.847
KTU,25.161,75.845
KTW,50.474,19.08
KUA,3.775,103.209
KUB,35.904,126.616
KUL,2.746,101.71
KUM,30.386,130.659
KUO,63.007,27.798
KUS,65.583,-37.15
KUU,31.882,77.184
KVA,40.913,24.619
KVB,58.456,13.973
KWA,8.72,167.731
KWI,29.227,47.98
KWJ,35.126,126.81
KWL,25.218,110.039
KWZ,-10.766,25.506
KYA,37.979,32.562
KYD,22.029,121.527
KYP,19.427,93.534
KYS,14.431,-11.439
KZI,40.286,21.841
KZN,55.608,49.277
LAD,-8.858,13.231
LAE,-6.57,146.726
LAI,48.754,-3.471
LAN,42.779,-84.587
LAP,24.072,-110.362
LAS,36.08,-115.152
LAU,-2.252,40.913
LAX,33.942,-118.408
LAY,-28.582,29.75
LAZ,-13.262,-43.408
LBA,53.866,-1.661
LBB,33.664,-101.823
LBC,53.805,10.719
LBG,48.969,2.441
LBI,43.914,2.113
LBJ,-8.486,119.889
LBQ,-0.704,10.246
LBU,5.301,115.25
LBV,0.458,9.412
LCA,34.875,33.625
LCC,40.239,18.133
LCD,-23.16,29.696
LCE,15.742,-86.853
LCG,43.302,-8.377
LCH,30.126,-93.223
LCK,39.814,-82.928
LCL,22.336,-83.642
LCY,51.505,0.054
LDB,-23.334,-51.13
LDE,43.179,-0.006
LDK,58.465,13.174
LDU,5.032,118.324
LDY,55.043,-7.161
LEA,25.284,49.486
LEA,-22.236,114.089
LED,59.8,30.265
LEH,49.534,0.088
LEI,36.844,-2.37
LEJ,51.424,12.236
LEK,11.326,-12.287
LEM,53.143,8.623
LET,-4.193,-69.943
LEU,42.339,1.409
LFI,37.083,-76.36
LFK,31.234,-94.75
LFR,8.239,-72.271
LFT,30.205,-91.987
LFW,6.166,1.254
LGA,40.777,-73.872
LGB,33.818,-118.151
LGG,50.637,5.443
LGI,23.179,-75.093
LGK,6.33,99.729
LGP,7.828,123.46
LGQ,0.092,-76.869
LGS,-35.484,-69.582
LGW,51.148,-0.19
LHE,31.521,74.403
LHR,51.477,-0.461
LHW,31.889,-81.562
LID,52.17,4.426
LIF,-20.775,167.24
LIG,45.863,1.179
LIH,21.976,-159.339
LIL,50.562,3.089
LIM,-12.022,-77.114
LIN,45.445,9.277
LIO,9.958,-83.022
LIP,-21.664,-49.73
LIQ,2.171,21.497
LIR,10.593,-85.544
LIS,38.781,-9.136
LIT,34.729,-92.224
LKL,70.069,24.973
LKO,26.761,80.886
LLA,65.544,22.122
LLI,11.975,38.98
LME,47.949,0.202
LMG,-16.467,179.34
LMM,25.685,-109.081
LMO,57.705,-3.339
LMP,35.498,12.618
LNA,26.593,-80.085
LNK,40.851,-96.759
LNY,20.786,-156.951
LNZ,48.233,14.183
LOE,17.439,101.722
LOK,3.122,35.609
LOO,33.764,2.927
LOS,6.577,3.321
LOU,38.228,-85.664
LOV,26.956,-101.47
LOY,2.763,36.718
LPA,27.932,-15.386
LPB,-16.513,-68.192
LPG,-34.972,-57.894
LPI,58.406,15.68
LPL,53.334,-2.85
LPP,61.044,28.144
LPQ,19.897,102.161
LPT,18.272,99.504
LPY,45.079,3.765
LRA,39.65,22.465
LRC,51.602,6.143
LRD,27.544,-99.461
LRF,34.918,-92.146
LRH,43.449,1.263
LRL,9.767,1.091
LRM,18.452,-68.912
LRS,37.185,26.8
LRT,47.761,-3.44
LSC,-29.916,-71.191
LSF,32.337,-84.991
LSH,22.977,97.752
LSI,59.879,-1.296
LSP,11.781,-70.152
LSQ,-37.402,-72.426
LST,-41.545,147.214
LSV,36.236,-115.034
LTA,-23.824,30.329
LTD,30.152,9.715
LTK,35.401,35.949
LTL,-0.826,12.747
LTM,3.373,-59.789
LTN,51.874,-0.368
LTO,25.989,-111.348
LTQ,50.515,1.627
LTS,34.667,-99.267
LUF,33.535,-112.383
LUG,46.004,8.911
LUH,30.854,75.951
LUK,39.103,-84.419
LUN,-15.331,28.453
LUO,-11.768,19.898
LUQ,-33.273,-66.356
LUR,68.875,-166.11
LUW,-1.039,122.772
LUX,49.626,6.211
LVA,48.031,-0.743
LVI,-17.822,25.822
LWO,49.813,23.956
LWR,53.229,5.761
LXR,25.671,32.706
LXS,39.917,25.236
LYC,64.548,18.716
LYE,51.505,-1.993
LYN,45.728,4.945
LYP,31.365,72.995
LYR,78.246,15.466
LYS,45.726,5.091
LYX,50.956,0.939
LZC,18.002,-102.22
LJU,46.224,14.457
MAA,12.994,80.18
MAB,-5.368,-49.138
MAD,40.472,-3.561
MAF,31.942,-102.202
MAG,-5.207,145.789
MAH,39.863,4.219
MAJ,7.065,171.272
MAK,9.559,31.652
MAM,25.77,-97.525
MAN,53.354,-2.275
MAO,-3.039,-60.05
MAR,10.558,-71.728
MAT,-5.799,13.441
MAU,-16.426,-152.244
MAZ,18.256,-67.148
MBA,-4.035,39.594
MBE,44.304,143.404
MBJ,18.504,-77.913
MBO,-25.798,25.548
MBW,-37.976,145.102
MBX,46.48,15.686
MCA,8.481,-9.526
MCC,38.667,-121.401
MCF,27.849,-82.521
MCG,62.953,-155.606
MCH,-3.269,-79.962
MCI,39.297,-94.714
MCN,32.693,-83.649
MCO,28.429,-81.316
MCP,0.051,-51.072
MCT,23.593,58.284
MCU,46.224,2.363
MCU,46.352,2.57
MCX,42.817,47.652
MCY,-26.603,153.091
MCZ,-9.51,-35.793
MDC,1.549,124.926
MDE,6.164,-75.423
MDI,7.704,8.614
MDK,0.022,18.289
MDL,21.702,95.978
MDQ,-37.934,-57.573
MDT,40.193,-76.763
MDW,41.786,-87.752
MDY,28.201,-177.381
MDZ,-32.832,-68.793
MEB,-37.728,144.902
MEC,-0.946,-80.678
MED,24.553,39.705
MEE,-21.482,168.037
MEG,-9.525,16.312
MEK,33.879,-5.515
MEL,-37.673,144.843
MEM,35.042,-89.977
MEN,44.502,3.533
MER,37.38,-120.568
MES,3.558,98.672
MEX,19.436,-99.072
MEZ,-22.356,29.986
MFE,26.176,-98.239
MFF,-1.537,13.269
MFG,13.502,7.127
MFG,34.338,73.508
MFK,-25.753,25.612
MFM,22.149,113.591
MFU,-13.259,31.936
MGA,12.141,-86.168
MGD,-13.254,-64.063
MGE,33.915,-84.516
MGF,-23.44,-51.907
MGH,-30.857,30.343
MGL,51.23,6.504
MGN,9.283,-74.839
MGQ,2.014,45.305
MGZ,12.443,98.621
MHG,49.473,8.514
MHH,26.511,-77.083
MHP,53.864,27.539
MHQ,60.122,19.898
MHR,38.554,-121.297
MHZ,52.361,0.488
MIA,25.793,-80.291
MIB,48.416,-101.357
MID,20.937,-89.657
MIK,61.686,27.202
MIR,35.758,10.755
MIU,11.855,13.081
MIV,39.368,-75.072
MJC,7.272,-7.587
MJD,27.335,68.143
MJF,65.784,13.215
MJM,-6.121,23.569
MJN,-15.667,46.352
MJT,39.057,26.598
MJV,37.775,-0.812
MKE,42.947,-87.896
MKJ,-0.021,15.575
MKK,21.153,-157.096
MKL,35.6,-88.916
MKO,35.657,-95.361
MKP,-16.585,-143.657
MKQ,-8.52,140.418
MKU,0.579,12.891
MKW,-0.88,134.05
MKY,-21.172,149.18
MKZ,2.263,102.251
MLA,35.857,14.478
MLB,28.103,-80.645
MLC,34.882,-95.783
MLE,4.192,73.529
MLG,-7.926,112.714
MLH,47.589,7.53
MLM,19.85,-101.025
MLN,35.28,-2.956
MLT,45.648,-68.686
MLU,32.511,-92.037
MLW,6.289,-10.759
MLX,38.436,38.092
MLZ,-32.338,-54.217
MMB,43.881,144.164
MMC,22.74,-99.018
MMD,25.846,131.263
MME,54.509,-1.429
MMJ,36.167,137.923
MMK,68.782,32.751
MMO,15.156,-23.214
MMV,45.194,-123.136
MMX,55.53,13.371
MMY,34.072,139.56
MMY,24.783,125.295
MMZ,35.934,64.759
MNB,-5.931,12.352
MNC,-14.488,40.712
MNI,33.587,-80.209
MNL,14.509,121.019
MNL,7.617,124.059
MNM,45.126,-87.638
MNJ,-21.202,48.358
MOA,20.654,-74.922
MOB,30.691,-88.243
MOC,-16.707,-43.819
MOD,37.626,-120.954
MOF,-8.641,122.237
MOG,20.517,99.257
MOH,27.483,95.017
MOL,62.746,7.272
MON,-43.907,170.128
MOQ,-20.285,44.318
MOT,48.259,-101.28
MOZ,-17.49,-149.762
MPL,43.576,3.963
MPM,-25.921,32.573
MPN,-51.823,-58.447
MPV,44.203,-72.562
MQF,53.393,58.76
MQQ,8.62,16.068
MQS,12.887,-61.18
MQT,46.534,-87.562
MQX,13.467,39.533
MRD,8.582,-71.161
MRI,61.214,-149.846
MRO,-40.973,175.634
MRS,43.436,5.214
MRU,-20.43,57.683
MRV,44.225,43.082
MRX,30.556,49.152
MSE,51.342,1.346
MSH,20.675,58.89
MSJ,40.703,141.368
MSN,43.14,-89.337
MSP,44.88,-93.217
MSQ,53.882,28.031
MSS,44.936,-74.845
MST,50.911,5.77
MSU,-29.462,27.553
MSY,29.993,-90.258
MTC,42.613,-82.832
MTR,8.824,-75.826
MTS,-26.529,31.308
MTT,18.103,-94.581
MTY,25.778,-100.107
MTZ,31.328,35.388
MUB,-19.972,23.431
MUC,48.354,11.786
MUE,20.001,-155.668
MUH,31.325,27.222
MUI,40.435,-76.569
MUN,9.749,-63.152
MUO,43.043,-115.872
MUR,4.178,114.331
MUW,35.208,0.147
MUX,30.203,71.419
MVB,-1.656,13.438
MVD,-34.789,-56.264
MVD,-34.838,-56.03
MVP,1.254,-70.234
MVR,10.451,14.257
MVT,-14.868,-148.717
MVZ,-20.055,30.859
MWH,47.208,-119.32
MWL,32.781,-98.06
MWZ,-2.444,32.932
MXF,32.379,-86.362
MXJ,9.652,6.462
MXL,32.631,-115.241
MXM,-21.754,43.375
MXN,48.603,-3.816
MXP,45.631,8.728
MXX,60.958,14.511
MYD,-3.229,40.102
MYG,22.379,-73.013
MYJ,33.827,132.7
MYR,33.68,-78.928
MYT,25.383,97.353
MYW,-10.339,40.182
MYY,4.325,113.988
MZB,-11.362,40.355
MZC,0.776,11.553
MZG,23.569,119.628
MZH,40.829,35.522
MZI,14.513,-4.079
MZL,5.03,-75.465
MZM,49.072,6.132
MZO,20.288,-77.089
MZR,36.707,67.209
MZT,23.161,-106.266
MZW,26.224,120.002
NAG,21.092,79.047
NAK,14.934,102.079
NAN,-17.754,177.443
NAP,40.886,14.291
NAS,25.039,-77.466
NAT,-5.911,-35.248
NAU,-14.177,-141.267
NAW,6.52,101.743
NBC,32.477,-80.723
NBG,29.825,-90.035
NBX,-3.368,135.496
NCA,34.708,-77.439
NCA,21.917,-71.939
NCE,43.661,7.218
NCL,55.038,-1.692
NCS,-27.771,29.977
NCU,42.486,59.623
NCY,45.929,6.099
NDB,20.928,-17.031
NDE,3.934,41.844
NDJ,12.134,15.034
NDL,8.427,20.635
NEL,40.033,-74.353
NFL,39.416,-118.701
NGB,29.825,121.465
NGE,7.357,13.559
NGF,21.449,-157.768
NGO,35.255,136.924
NGS,32.922,129.923
NGU,36.938,-76.289
NGV,-17.045,15.687
NHA,12.218,109.2
NHK,38.286,-76.412
NHT,51.553,-0.418
NHV,-8.796,-140.229
NID,35.688,-117.691
NIM,13.481,2.184
NIP,30.236,-81.681
NIT,46.311,-0.401
NIX,15.239,-9.576
NKC,18.098,-15.948
NKG,31.74,118.86
NKT,34.902,-76.881
NKX,32.868,-117.143
NLA,-12.998,28.665
NLC,36.333,-119.952
NLD,27.444,-99.57
NLK,-29.041,167.939
NLO,-4.325,15.328
NLP,-25.501,30.913
NMB,20.435,72.844
NMM,32.552,-88.556
NNA,34.299,-6.596
NNG,22.608,108.172
NOB,9.976,-85.653
NOC,53.91,-8.818
NOG,31.226,-110.976
NOP,10.308,123.979
NOS,-13.312,48.314
NOU,-22.014,166.213
NOV,-12.809,15.76
NOW,48.141,-123.414
NPA,30.353,-87.319
NPL,-39.009,174.179
NQA,35.357,-89.87
NQI,27.507,-97.81
NQN,-38.949,-68.156
NQX,24.576,-81.689
NQY,50.441,-4.995
NRD,53.707,7.23
NRK,58.586,16.251
NRR,18.245,-65.643
NRT,35.765,140.386
NSE,30.724,-87.022
NSN,-41.298,173.221
NST,8.471,99.956
NSY,37.401,14.922
NTD,34.12,-119.121
NTE,47.153,-1.611
NTK,33.706,-117.827
NTR,25.866,-100.237
NTU,36.821,-76.033
NTY,-25.334,27.173
NUE,49.499,11.078
NUQ,37.415,-122.048
NUW,48.352,-122.656
NVA,2.95,-75.294
NVS,47.001,3.114
NVT,-26.88,-48.651
NWA,-12.298,43.766
NWI,52.676,1.283
NXP,34.296,-116.162
NXX,40.2,-75.148
NYE,-0.369,36.98
NYG,38.502,-77.305
NYI,7.362,-2.329
NYK,-0.061,37.039
NYO,58.789,16.912
NZC,30.219,-81.876
NZE,7.806,-8.702
NZY,32.699,-117.215
NJC,60.95,76.467
NJK,32.829,-115.672
OAK,37.721,-122.221
OAM,-44.97,171.082
OAX,17,-96.726
OBF,48.081,11.283
OBO,42.733,143.217
OBS,44.544,4.372
OCC,-0.463,-76.986
OCJ,18.404,-76.969
OCV,8.315,-73.358
ODB,37.842,-4.849
ODE,55.476,10.329
ODH,51.234,-0.943
ODS,46.427,30.678
OER,63.408,18.99
OFF,41.118,-95.913
OGG,20.899,-156.431
OGN,24.467,122.978
OGS,44.682,-75.466
OGX,31.917,5.413
OHD,41.18,20.742
OIM,34.784,139.361
OIT,33.479,131.737
OKA,26.196,127.646
OKC,35.393,-97.601
OKI,36.181,133.325
OKJ,34.757,133.856
OKN,-0.665,13.673
OKO,35.748,139.348
OLA,63.699,9.604
OLB,40.899,9.518
OLI,70.499,-149.879
OLS,31.418,-110.848
OMA,41.302,-95.894
OMB,-1.575,9.263
OME,64.512,-165.445
OMF,32.356,36.259
OMO,43.283,17.846
OMR,47.025,21.902
OMS,54.967,73.31
ONT,34.056,-117.601
OOL,-28.164,153.505
OPA,66.314,-16.461
OPF,25.907,-80.278
OPO,41.248,-8.681
ORA,-23.153,-64.329
ORB,59.224,15.038
ORD,41.979,-87.904
ORE,47.988,1.761
ORF,36.894,-76.201
ORG,5.811,-55.191
ORK,51.843,-8.492
ORL,28.545,-81.333
ORN,35.624,-0.621
ORP,-21.266,25.32
ORT,62.961,-141.929
ORW,25.273,64.588
ORY,48.725,2.359
OSD,63.194,14.502
OSI,45.463,18.811
OSK,57.35,16.498
OSL,60.194,11.1
OSN,37.091,127.029
OSP,54.479,17.108
OSR,49.696,18.111
OSS,40.609,72.793
OST,51.199,2.862
OTP,44.574,26.103
OTR,8.601,-82.97
OTU,7.01,-74.715
OTZ,66.884,-162.598
OUA,12.353,-1.512
OUD,34.787,-1.924
OUE,1.616,16.038
OUL,64.93,25.354
OUR,4.473,14.364
OVD,43.563,-6.034
OXF,51.837,-1.32
OYE,1.541,11.581
OYL,3.47,39.101
OZP,37.175,-5.616
OZZ,30.939,-6.909
PAB,21.989,82.111
PAC,8.973,-79.556
PAD,51.614,8.616
PAE,47.906,-122.281
PAM,30.07,-85.576
PAN,6.785,101.153
PAP,18.58,-72.293
PAQ,61.595,-149.089
PAT,25.591,85.088
PAV,-9.401,-38.251
PAZ,20.603,-97.461
PBC,19.158,-98.371
PBD,21.649,69.656
PBF,34.175,-91.934
PBG,44.651,-73.468
PBH,27.403,89.426
PBI,26.683,-80.096
PBL,10.48,-68.073
PBM,5.453,-55.188
PBN,-10.722,13.765
PBU,27.33,97.426
PCA,20.077,-98.782
PCB,-6.337,106.764
PCL,-8.378,-74.574
PCP,1.663,7.412
PCR,6.184,-67.493
PDG,-0.876,100.352
PDL,37.741,-25.698
PDP,-34.914,-54.921
PDS,28.627,-100.535
PDU,-32.365,-58.061
PDV,42.068,24.851
PDX,45.589,-122.597
PED,50.013,15.739
PEE,57.917,56.026
PEG,43.096,12.513
PEI,4.813,-75.739
PEK,40.08,116.584
PEM,-12.614,-69.229
PEN,5.297,100.277
PER,-31.94,115.967
PET,-31.718,-52.328
PEU,15.261,-83.781
PEW,33.994,71.514
PEZ,28.954,-98.52
PFB,-28.244,-52.326
PFJ,65.556,-23.965
PFO,34.718,32.486
PGF,42.74,2.871
PGH,29.033,79.474
PGI,-7.357,20.804
PGK,-2.163,106.139
PGX,45.198,0.816
PHC,5.015,6.949
PHE,-20.378,118.626
PHF,37.132,-76.493
PHL,39.872,-75.241
PHN,42.911,-82.529
PHS,16.783,100.279
PHW,-23.937,31.155
PHX,33.434,-112.008
PIE,27.911,-82.687
PIF,22.672,120.462
PIK,55.508,-4.587
PIO,-13.745,-76.22
PIS,46.588,0.307
PIT,40.491,-80.233
PIU,-5.206,-80.616
PIX,38.554,-28.44
PIZ,69.733,-163.005
PJG,26.954,64.132
PKC,53.166,158.453
PKN,-2.705,111.673
PKO,9.357,2.609
PKP,-14.809,-138.813
PKR,28.2,83.981
PKU,0.461,101.444
PKW,-22.058,27.829
PKY,-2.225,113.943
PKZ,15.132,105.781
PLF,9.379,14.926
PLH,50.423,-4.106
PLM,-2.898,104.701
PLS,21.774,-72.266
PLU,-19.852,-43.95
PLW,-0.918,119.909
PLX,50.351,80.234
PLZ,-33.985,25.617
PMA,-5.257,39.811
PMC,-41.439,-73.094
PMD,34.629,-118.084
PMF,44.824,10.296
PMG,-22.549,-55.703
PMI,39.55,2.733
PML,59.011,-161.819
PMO,38.176,13.091
PMO,38.111,13.313
PMR,-40.321,175.617
PMS,34.557,38.317
PMV,10.912,-63.966
PMY,-42.759,-65.102
PMZ,8.951,-83.468
PNA,42.77,-1.646
PNB,-10.719,-48.4
PNC,36.731,-97.1
PNE,40.082,-75.011
PNH,11.546,104.844
PNI,6.985,158.209
PNK,-0.151,109.404
PNL,36.816,11.969
PNM,45.56,-93.608
PNQ,18.582,73.919
PNR,-4.813,11.886
PNS,30.473,-87.187
PNZ,-9.364,-40.564
POA,-29.994,-51.171
POB,35.171,-79.014
POE,31.045,-93.191
POG,-0.712,8.754
POI,-19.543,-65.724
POL,-12.987,40.522
POM,-9.443,147.22
POO,-21.843,-46.568
POP,19.757,-70.57
POR,61.462,21.8
POS,10.595,-61.337
POT,18.199,-76.534
POW,45.473,13.615
POX,49.096,2.041
POZ,52.421,16.826
PPB,-22.175,-51.424
PPE,31.352,-113.526
PPG,-14.331,-170.71
PPN,2.454,-76.61
PPP,-20.495,148.552
PPQ,-40.905,174.989
PPS,9.742,118.759
PQI,46.689,-68.045
PRA,-31.795,-60.48
PRC,34.654,-112.419
PRG,50.101,14.26
PRH,18.132,100.164
PRI,-4.319,55.691
PRN,42.573,21.036
